다아, 41, 169
차파, 40, 167
바아, 47, 192
자나, 95, 180
바카, 79, 170
가하, 99, 189
사차, 85, 188
아바, 89, 174
자라, 89, 162
나카, 67, 169
가카, 71, 172
카하, 64, 193
카바, 45, 198
가하, 64, 164
사타, 82, 196
차파, 72, 197
사나, 45, 199
하바, 58, 198
다차, 87, 171
파타, 58, 198
마자, 59, 195
사바, 46, 151
카차, 64, 158
가타, 83, 195
가가, 70, 198
바차, 76, 163
사나, 99, 187
타바, 86, 154
다자, 66, 154
가나, 50, 172
하마, 83, 152
바차, 86, 174
카마, 60, 182
파가, 64, 183
차아, 81, 159
다자, 65, 151
차라, 74, 159
타마, 74, 179
라나, 84, 170
사자, 88, 197
차바, 91, 150
사하, 77, 152
사파, 54, 195
라아, 73, 174
하바, 84, 166
카차, 63, 166
타카, 82, 152
다카, 46, 197
차카, 79, 165
아마, 95, 179
사파, 45, 169
다파, 45, 174
파마, 46, 159
라카, 46, 199
바카, 69, 163
사하, 66, 179
아마, 61, 153
아파, 58, 157
자아, 87, 182
나파, 49, 180
사라, 70, 176
나가, 49, 150
파라, 56, 175
아다, 42, 161
라아, 84, 162
바나, 93, 169
하나, 93, 195
카타, 94, 185
라다, 46, 196
타파, 52, 160
가타, 59, 184
자사, 64, 157
카마, 68, 156
나라, 96, 188
라라, 44, 166
마다, 58, 178
타마, 93, 153
가다, 93, 168
마바, 96, 187
다타, 55, 198
나타, 86, 196
가바, 47, 153
다바, 57, 157
다사, 67, 196
가자, 50, 197
다바, 74, 181
바아, 54, 155
사하, 74, 190
다마, 63, 179
바라, 54, 173
나다, 48, 175
마아, 71, 150
라마, 57, 188
나사, 85, 177
하하, 55, 169
아라, 98, 193
자라, 84, 152
타자, 64, 169
마가, 77, 193
차사, 63, 173
